"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-1,0.535291480521361,-0.690144323371351,1.82681960345556,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-1,-9.00587582588196,-9.75017832059272,-8.26671264714833,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",-1,-8.82824773490429,-9.51225209299475,-8.15423094592989,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.8,-0.134336681365967,-1.16906286901236,0.959804049253464,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-0.8,0.387579706807931,-0.893565884791314,1.65868886628499,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.8,-9.47964606783058,-10.2653003314251,-8.7011226671406,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",-0.8,-9.19857131689787,-9.88503898205236,-8.51353187391535,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.6,-0.152441787719727,-1.12956986552477,0.885444244027138,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-0.6,0.237497662504514,-1.00985520165414,1.53074713125825,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.6,-9.51700729961637,-10.3778134054398,-8.67541358959448,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",-0.6,-9.25027815550566,-9.97592869041488,-8.57223447656259,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.4,-0.0670623540878296,-0.976268375217915,0.81446970129013,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-0.4,0.154382966458797,-0.994269245987137,1.33017880488187,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.4,-8.83129490327232,-9.75309160900644,-7.92674747458364,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",-0.4,-8.58036936670542,-9.38144100399688,-7.80563926739618,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.2,0.0246877217292786,-0.742521683931351,0.79514256042242,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-0.2,0.144885626931985,-0.882274738512933,1.29176401756704,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.2,-6.7057806411876,-7.7073982941199,-5.70521470611986,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",-0.2,-6.68467093408108,-7.62208166439086,-5.7719267966412,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0,0.152190430164337,-0.624753744006157,0.871878715872764,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",0,0.263538693388303,-0.855492439431449,1.40437858123332,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0,-2.77487297903133,-3.84192568886129,-1.73294583645803,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",0,-3.00454872697592,-3.99151009244844,-2.0193915036507,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.2,0.225020310878754,-0.62027835470438,1.01091415339708,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",0.2,0.40483566870292,-0.986752694410582,1.87253299312045,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.2,4.05273076326032,3.1560069118874,4.94084524810314,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",0.2,3.45971891134977,2.62128133790568,4.28929115364328,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.4,0.267477185726166,-0.597811124622822,1.10513398021459,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",0.4,0.392765623827775,-1.10624227349957,1.96301241808881,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.4,8.28252993429763,7.57374552522279,9.05875170302542,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",0.4,7.62360876500607,6.86132623853162,8.41259136507288,80
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.6,0.357095084190369,-0.542965865194797,1.22229395800829,25
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",0.6,0.348384482165178,-1.22114365852127,2.09900440641989,24
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.6,10.9664362721805,10.2446217596154,11.6788482645456,79
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",0.6,10.2439356930554,9.49695961739868,11.0086559711397,80
